site.name,site.id,ccamlr.region,Longitude.EPSG.4326,Latitude.EPSG.4326,common.name,day,month,year,season.starting,count,accuracy,count.type
Adams Island,ADAM,58.4.1,92.5486,-66.5459,adelie penguin,12,11,2009,2009,76,5,nests
Adams Island,ADAM,58.4.1,92.5486,-66.5459,adelie penguin,21,1,2011,2010,425,1,adults
Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,0,0,1982,1982,220900,2,chicks
Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,0,12,1983,1983,256806,2,nests
Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,0,12,1986,1986,282307,2,nests
Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,0,12,1988,1988,272338,2,nests
Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,0,12,1990,1990,169200,2,nests
Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,0,12,1992,1992,297443,2,nests
Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,0,12,1998,1998,338777,2,nests
Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,16,2,2011,2010,338231,5,nests
Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,0,12,2013,2013,428516,2,nests
Akarui Point,AKAR,58.4.2,41.3901,-68.4999,adelie penguin,24,11,1981,1981,211,1,adults
Akarui Point,AKAR,58.4.2,41.3901,-68.4999,adelie penguin,14,11,1984,1984,187,1,adults
Akarui Point,AKAR,58.4.2,41.3901,-68.4999,adelie penguin,11,2,2011,2010,106,5,nests
Alasheyev Bight,ALAS,58.4.2,46.109,-67.654,adelie penguin,25,3,2009,2008,1080,5,nests
Amanda Bay,AMAN,58.4.2,76.83,-69.27,emperor penguin,0,0,1961,1961,1500,3,adults
Amanda Bay,AMAN,58.4.2,76.83,-69.27,emperor penguin,0,0,1983,1983,2339,2,chicks
Amanda Bay,AMAN,58.4.2,76.83,-69.27,emperor penguin,0,0,1987,1987,9000,3,chicks
Amanda Bay,AMAN,58.4.2,76.83,-69.27,emperor penguin,13,10,2009,2009,6831,2,adults
Amundsen Bay,AMUN,58.4.2,50.55,-66.78,emperor penguin,20,10,2009,2009,88,2,adults
Andersen Island,ANDS,58.4.2,63.3572,-67.4353,adelie penguin,23,11,2005,2005,5000,5,nests
Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,0,12,1986,1986,557,2,nests
Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,0,12,1988,1988,383,2,nests
Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,0,12,1991,1991,346,2,nests
Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,0,12,1993,1993,369,2,nests
Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,0,12,1996,1996,160,2,nests
Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,0,12,1998,1998,171,2,nests
Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,0,12,2002,2002,273,2,nests
Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,0,12,2006,2006,139,2,nests
Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,0,12,2013,2013,522,2,nests
Arthurson Ridge,ARTH,88.1,158.5109,-69.3634,adelie penguin,8,3,2012,2011,14461,5,nests
Astrid,ASTD,48.6,8.31,-69.95,emperor penguin,11,11,2009,2009,1368,2,adults
Atka,ATKA,48.6,-8.13,-70.61,emperor penguin,0,0,1986,1986,8000,5,chicks
Atka,ATKA,48.6,-8.13,-70.61,emperor penguin,8,9,2009,2009,9657,2,adults
Auster Islands,AUST,58.4.2,63.98,-67.39,emperor penguin,0,0,1978,1978,11000,3,adults
Auster Islands,AUST,58.4.2,63.98,-67.39,emperor penguin,0,0,1988,1988,11000,4,adults
Auster Islands,AUST,58.4.2,63.98,-67.39,adelie penguin,28,12,2006,2006,2082,5,nests
Auster Islands,AUST,58.4.2,63.98,-67.39,emperor penguin,25,10,2009,2009,7855,2,adults
Backer Islands,BACK,88.3,-102.5515,-74.4112,adelie penguin,6,2,2011,2010,465,5,nests
Balaena Islands,BALA,58.4.1,111.0688,-66.0158,adelie penguin,2,11,2011,2011,160,5,nests
Cape Batterbee,BATT,58.4.2,53.8129,-65.842,adelie penguin,3,2,2011,2010,30746,5,nests
Beaufort Island North,BEAN,88.1,166.881,-76.9288,adelie penguin,0,12,2004,2004,460,2,nests
Beaufort Island North,BEAN,88.1,166.881,-76.9288,adelie penguin,0,12,2005,2005,491,2,nests
Beaufort Island North,BEAN,88.1,166.881,-76.9288,adelie penguin,0,12,2008,2008,544,2,nests
Beaufort Island North,BEAN,88.1,166.881,-76.9288,adelie penguin,12,12,2010,2010,752,5,nests
Beaufort Island North,BEAN,88.1,166.881,-76.9288,adelie penguin,0,12,2010,2010,957,2,nests
Beaufort Island North,BEAN,88.1,166.881,-76.9288,adelie penguin,0,12,2013,2013,989,2,nests
Bear Peninsula,BEAR,88.2,-110.1917,-74.3922,emperor penguin,18,11,2009,2009,9457,2,adults
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,1976,1976,1787,1,chicks
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,0,1981,1981,34600,1,adults
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,12,1983,1983,40625,2,nests
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,1983,1983,179,1,chicks
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,12,1984,1984,36741,2,nests
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,12,1985,1985,39985,2,nests
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,12,1986,1986,53079,2,nests
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,12,1987,1987,46001,2,nests
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,12,1988,1988,43336,2,nests
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,12,1989,1989,42561,2,nests
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,12,1990,1990,27953,2,nests
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,12,1991,1991,37668,2,nests
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,12,1992,1992,36155,2,nests
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,12,1996,1996,21147,2,nests
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,12,1998,1998,21285,2,nests
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2000,2000,2038,1,chicks
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2000,2000,839,1,adults
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2001,2001,1075,1,chicks
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2001,2001,1630,1,adults
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2002,2002,1430,1,chicks
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2002,2002,1805,1,adults
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2003,2003,364,1,chicks
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2003,2003,883,1,adults
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,12,2004,2004,47725,2,nests
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2004,2004,131,1,chicks
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2004,2004,882,1,adults
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,12,2005,2005,52335,2,nests
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2005,2005,628,1,chicks
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2005,2005,1222,1,adults
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,12,2006,2006,48039,2,nests
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2006,2006,1155,1,chicks
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2006,2006,1312,1,adults
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2007,2007,1442,1,chicks
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2007,2007,912,1,adults
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,12,2008,2008,45561,2,nests
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2008,2008,1683,1,chicks
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2008,2008,1109,1,adults
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,12,10,2009,2009,1641,2,adults
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,12,12,2010,2010,61106,5,nests
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,12,2010,2010,63760,2,nests
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2010,2010,1079,1,chicks
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2010,2010,2123,1,adults
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2011,2011,0,1,chicks
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2011,2011,667,1,adults
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2012,2012,705,1,chicks
Beaufort Island,BEAU,88.1,166.8978,-76.9694,emperor penguin,0,0,2012,2012,812,1,adults
Beaufort Island,BEAU,88.1,166.8978,-76.9694,adelie penguin,0,12,2013,2013,70468,2,nests
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1990,1990,1791,1,nests
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1990,1990,1498,1,chicks
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1991,1991,1829,1,nests
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1991,1991,1304,1,chicks
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1992,1992,1485,1,nests
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1992,1992,1190,1,chicks
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1993,1993,1711,1,nests
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1993,1993,1816,1,chicks
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1994,1994,1736,1,nests
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1994,1994,34,1,chicks
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1995,1995,1813,1,nests
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1995,1995,727,1,chicks
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1996,1996,1873,1,nests
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1996,1996,1750,1,chicks
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1997,1997,1933,1,nests
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1997,1997,1556,1,chicks
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1998,1998,1880,1,nests
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1998,1998,720,1,chicks
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1999,1999,1836,1,nests
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,1999,1999,990,1,chicks
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,2000,2000,1939,1,nests
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,2000,2000,1697,1,chicks
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,2001,2001,2207,1,nests
Bechervaise Island,BECH,58.4.2,62.8167,-67.5833,adelie penguin,0,0,2001,2001,2264,1,chicks
Benten,BENT,58.4.2,39.25,-69.0417,adelie penguin,24,11,1981,1981,12,1,adults
Benten,BENT,58.4.2,39.25,-69.0417,adelie penguin,18,11,1982,1982,10,1,adults
Benten,BENT,58.4.2,39.25,-69.0417,adelie penguin,0,0,1983,1983,8,1,adults
Benten,BENT,58.4.2,39.25,-69.0417,adelie penguin,14,11,1984,1984,6,1,adults
Benten,BENT,58.4.2,39.25,-69.0417,adelie penguin,0,0,1989,1989,3,1,adults
Benten,BENT,58.4.2,39.25,-69.0417,adelie penguin,0,0,1991,1991,2,1,adults
Benten,BENT,58.4.2,39.25,-69.0417,adelie penguin,0,0,1995,1995,3,1,adults
Benten,BENT,58.4.2,39.25,-69.0417,adelie penguin,0,0,1996,1996,2,1,adults
Benten,BENT,58.4.2,39.25,-69.0417,adelie penguin,0,0,1997,1997,5,1,adults
Benten,BENT,58.4.2,39.25,-69.0417,adelie penguin,0,0,1998,1998,9,1,adults
Benten,BENT,58.4.2,39.25,-69.0417,adelie penguin,0,0,1999,1999,15,1,adults
Benten,BENT,58.4.2,39.25,-69.0417,adelie penguin,0,0,2000,2000,11,1,adults
Benten,BENT,58.4.2,39.25,-69.0417,adelie penguin,0,0,2001,2001,11,1,adults
Benten,BENT,58.4.2,39.25,-69.0417,adelie penguin,0,0,2002,2002,18,1,adults
Benten,BENT,58.4.2,39.25,-69.0417,adelie penguin,0,0,2003,2003,27,1,adults
Benten,BENT,58.4.2,39.25,-69.0417,adelie penguin,0,0,2004,2004,23,1,adults
Berkley/Cameron,BERK,58.4.1,110.64,-66.2163,adelie penguin,14,2,1980,1979,2928,3,adults
Berkley/Cameron,BERK,58.4.1,110.64,-66.2163,adelie penguin,19,12,1989,1989,6488,2,nests
Berkley/Cameron,BERK,58.4.1,110.64,-66.2163,adelie penguin,30,1,2011,2010,13423,5,nests
Cape Bienvenue,BIEN,58.4.1,140.5252,-66.7203,adelie penguin,0,0,1984,1984,10000,5,adults
Cape Bienvenue,BIEN,58.4.1,140.5252,-66.7203,adelie penguin,0,0,1997,1997,15023,2,nests
Cape Bienvenue,BIEN,58.4.1,140.5252,-66.7203,adelie penguin,16,2,2011,2010,35466,5,nests
Bolingen/Lichen Island,BOLI,58.4.2,75.7474,-69.456,adelie penguin,15,12,1981,1981,465,1,nests
Bowman Island,BOWM,58.4.1,103.07,-65.16,emperor penguin,0,0,1960,1960,1500,5,adults
Bowman Island,BOWM,58.4.1,103.07,-65.16,emperor penguin,26,10,2009,2009,1609,2,adults
Brattstrand Bluff,BRAT,58.4.2,76.9995,-69.2157,adelie penguin,15,12,1981,1981,5259,1,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,9,12,1983,1983,1882,1,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,1983,1983,2237,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,1984,1984,2033,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,1985,1985,2679,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,1986,1986,2878,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,1987,1987,3134,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,1988,1988,2648,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,1989,1989,2392,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,1990,1990,1609,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,1991,1991,2008,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,1992,1992,2501,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,1993,1993,1438,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,1994,1994,1875,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,1995,1995,2490,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,1996,1996,2299,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,1997,1997,3212,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,1998,1998,2632,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,1999,1999,3333,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,2000,2000,3316,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,2001,2001,1834,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,2002,2002,2357,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,2003,2003,1886,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,2004,2004,2674,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,2005,2005,3965,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,2006,2006,3261,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,2007,2007,3443,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,2009,2009,4333,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,2010,2010,4518,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,2011,2011,2534,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,2012,2012,4912,2,nests
Cape Bird Middle,BRDM,88.1,166.4187,-77.230393,adelie penguin,0,12,2013,2013,4343,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,1982,1982,23307,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,9,12,1983,1983,26378,1,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,1983,1983,31878,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,1984,1984,27308,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,1985,1985,36233,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,1986,1986,37721,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,1987,1987,41391,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,1988,1988,33247,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,1989,1989,27505,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,1990,1990,22908,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,1991,1991,24906,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,1992,1992,28905,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,1993,1993,14928,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,1994,1994,21914,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,1995,1995,24565,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,1996,1996,23305,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,1997,1997,32697,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,1998,1998,25440,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,1999,1999,32353,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,2001,2001,17334,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,2002,2002,30685,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,2003,2003,15246,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,2004,2004,26426,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,2005,2005,39979,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,2006,2006,35077,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,2007,2007,34636,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,2008,2008,31155,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,2009,2009,46073,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,2010,2010,48222,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,2011,2011,42860,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,2012,2012,50701,2,nests
Cape Bird North,BRDN,88.1,166.44589,-77.214483,adelie penguin,0,12,2013,2013,45572,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,9,12,1983,1983,10761,1,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,1983,1983,11711,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,1984,1984,10824,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,1985,1985,14329,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,1986,1986,14888,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,1987,1987,15232,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,1988,1988,12765,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,1989,1989,12079,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,1990,1990,8944,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,1991,1991,9499,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,1992,1992,11693,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,1993,1993,6658,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,1994,1994,9292,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,1995,1995,9663,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,1996,1996,7682,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,1997,1997,11599,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,1998,1998,10180,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,1999,1999,11664,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,2000,2000,9914,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,2001,2001,7149,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,2002,2002,7636,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,2003,2003,5684,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,2004,2004,7673,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,2005,2005,13765,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,2006,2006,11988,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,2007,2007,12516,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,2008,2008,8130,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,2009,2009,16716,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,2010,2010,15785,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,2011,2011,14481,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,2012,2012,20083,2,nests
Cape Bird South,BRDS,88.1,166.379444,-77.259444,adelie penguin,0,12,2013,2013,16764,2,nests
Brownson Islands,BSON,88.3,-103.636074,-74.168119,emperor penguin,18,11,2009,2009,5732,2,adults
Brownson Islands,BSON,88.3,-103.636074,-74.168119,adelie penguin,19,12,2011,2011,15962,5,nests
Buckle Island,BUCK,88.1,163.2871,-66.8908,adelie penguin,0,0,1978,1978,900,4,adults
Buckle Island,BUCK,88.1,163.2871,-66.8908,adelie penguin,6,12,2010,2010,277,5,nests
Cape Burks,BURK,88.2,-136.829586,-74.750466,adelie penguin,0,0,1990,1990,97,1,nests
Cape Burks,BURK,88.2,-136.829586,-74.750466,adelie penguin,26,1,2011,2010,1209,5,nests
Cape Barne,CBAR,88.1,166.24162,-77.578012,adelie penguin,0,0,1988,1988,5,1,nests
Cape Barne,CBAR,88.1,166.24162,-77.578012,adelie penguin,0,0,1989,1989,4,1,nests
Cape Barne,CBAR,88.1,166.24162,-77.578012,adelie penguin,20,1,2011,2010,0,1,nests
Casey Bay,CBAY,58.4.2,48.6565,-67.3774,adelie penguin,7,2,2011,2010,95,5,nests
"Cape Colbeck, Edward VII Peninsula",CBEK,88.2,-157.7,-77.14,emperor penguin,0,0,2008,2008,13820,1,adults
"Cape Colbeck, Edward VII Peninsula",CBEK,88.2,-157.7,-77.14,emperor penguin,13,10,2009,2009,11438,2,adults
"Cape Colbeck, Edward VII Peninsula",CBEK,88.2,-157.7,-77.14,emperor penguin,0,0,2011,2011,10493,1,chicks
"Cape Colbeck, Edward VII Peninsula",CBEK,88.2,-157.7,-77.14,emperor penguin,0,0,2011,2011,26266,1,adults
"Cape Colbeck, Edward VII Peninsula",CBEK,88.2,-157.7,-77.14,emperor penguin,0,0,2012,2012,17125,1,chicks
"Cape Colbeck, Edward VII Peninsula",CBEK,88.2,-157.7,-77.14,emperor penguin,0,0,2012,2012,21385,1,adults
Cape Davis,CDAV,88.1,163.5333,-66.65,adelie penguin,0,12,1984,1984,502,2,nests
Cape Davis,CDAV,88.1,163.5333,-66.65,adelie penguin,0,12,2005,2005,559,2,nests
Cape Hallett,CHAL,88.1,170.2142,-72.3179,adelie penguin,0,12,1981,1981,37573,2,nests
Cape Hallett,CHAL,88.1,170.2142,-72.3179,adelie penguin,0,12,1982,1982,43822,2,nests
Cape Hallett,CHAL,88.1,170.2142,-72.3179,adelie penguin,0,12,1983,1983,51874,2,nests
