latitude_degree,latitude_minute,longitude_degree,longitude_minute,standard_length,total_length,weight,latitude,longitude,species,month,year
65.0,50.6,85.0,2.8,50,-1,0.0,-65.8433,85.04666999999999,PLEURAGRAMMA ANTARCTICUM,1,1981
65.0,50.6,85.0,2.8,51,-1,0.0,-65.8433,85.04666999999999,PLEURAGRAMMA ANTARCTICUM,1,1981
65.0,50.6,85.0,2.8,51,-1,0.0,-65.8433,85.04666999999999,PLEURAGRAMMA ANTARCTICUM,1,1981
65.0,50.6,85.0,2.8,51,-1,0.0,-65.8433,85.04666999999999,PLEURAGRAMMA ANTARCTICUM,1,1981
65.0,50.6,85.0,2.8,51,-1,0.0,-65.8433,85.04666999999999,PLEURAGRAMMA ANTARCTICUM,1,1981
65.0,50.6,85.0,2.8,52,-1,0.0,-65.8433,85.04666999999999,PLEURAGRAMMA ANTARCTICUM,1,1981
65.0,50.6,85.0,2.8,52,-1,0.0,-65.8433,85.04666999999999,PLEURAGRAMMA ANTARCTICUM,1,1981
65.0,50.6,85.0,2.8,52,-1,0.0,-65.8433,85.04666999999999,PLEURAGRAMMA ANTARCTICUM,1,1981
65.0,50.6,85.0,2.8,52,-1,0.0,-65.8433,85.04666999999999,PLEURAGRAMMA ANTARCTICUM,1,1981
65.0,50.6,85.0,2.8,52,-1,0.0,-65.8433,85.04666999999999,PLEURAGRAMMA ANTARCTICUM,1,1981
65.0,50.6,85.0,2.8,53,-1,0.0,-65.8433,85.04666999999999,PLEURAGRAMMA ANTARCTICUM,1,1981
65.0,50.6,85.0,2.8,55,-1,0.0,-65.8433,85.04666999999999,PLEURAGRAMMA ANTARCTICUM,1,1981
65.0,50.6,85.0,2.8,50,-1,0.0,-65.8433,85.04666999999999,PLEURAGRAMMA ANTARCTICUM,1,1981
65.0,50.6,85.0,2.8,50,-1,0.0,-65.8433,85.04666999999999,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,37,-1,49.36,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,42,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,43,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,44,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,44,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
